D,gap,s,spy,us_sessions
2024-10-16,-0.0101577780083105,-0.0119292501694645,-0.0077696775233381254,1.0
2024-10-17,0.0039764179597241,0.0008692808888743,0.00434640444437151,1.0
2024-10-18,0.0025830644648943,0.0015917585312651,8.584543021927793e-05,1.0
2024-10-21,0.0026794268641274,0.0009526063765403,0.0038465722734466468,1.0
2024-10-22,-0.0015546753101665,-0.0007034061341376,-0.0016422140791901851,1.0
2024-10-23,0.0017699649568401,-0.0008488079454801,-0.0005311542518380286,1.0
2024-10-24,-0.0030505133149336,-0.0036163296762382,-0.009137380893711078,1.0
2024-10-25,0.0063578927494483,0.0015473890456197,0.0021626672107126765,1.0
2024-10-28,0.0020051839728179,0.0019370979394359,-0.00034530110213959464,1.0
2024-10-29,-0.0021014880314617,0.0007402395403124,0.003091391148152267,1.0
2024-10-30,-0.0041294439575663,0.005242702097322,0.0016183778622804734,1.0
2024-10-31,-0.0071517156549917,-0.0076577687123171,-0.0030252672130528513,1.0
2024-11-01,-0.0051600813372314,-0.0116803530193349,-0.01960310154264744,1.0
2024-11-04,0.0026274529800576,0.002970018049262,0.004220532001058652,1.0
2024-11-05,-0.007234529824872,-0.0015822996358296,-0.0021539305759273875,1.0
2024-11-06,0.0058287619967976,0.0047529477934472,0.012091775640930225,1.0
2024-11-07,-0.0024497775600451,0.0108053563177024,0.024865554910313614,1.0
2024-11-08,0.0086055568904046,0.0057156591307504,0.0077321458684938005,1.0
2024-11-11,0.000351461850613,-0.0006265816954881,0.004331722357409529,1.0
2024-11-12,-0.0014693801032799,-0.0048146035559935,0.0009528867448342915,1.0
2024-11-13,-0.0057601793441324,-0.0028024260750189,-0.003106395419244068,1.0
2024-11-14,0.0054528320182296,-0.0041518687183546,0.000485806693723001,1.0
2024-11-15,-0.0024019820641643,-0.001405086336015,-0.006430159312396544,1.0
2024-11-18,0.0097026514277194,-0.00900416506991,-0.012808588351979733,1.0
2024-11-19,2.422549845437771e-05,0.0034045713079684,0.004097352819568911,1.0
2024-11-20,0.001541317044847,0.0011143819793512,0.003655467635231613,1.0
2024-11-21,-0.0030898572504833,-0.0014624406992112,0.000338831460557909,1.0
2024-11-22,0.005155964277911,0.0042422892556649,0.005368302980789608,1.0
2024-11-25,0.0091435117288993,0.0007031811488001,0.003099410292649374,1.0
2024-11-26,-0.0051098885166902,0.0026305845076305,0.003392083253218603,1.0
2024-11-27,-0.0006110392947281,-0.001548704163485,0.005221486727384761,1.0
2024-11-28,-0.0013463988512498,-0.0032887690614043,-0.0030300628489846604,1.0
2024-12-02,0.0094099980247344,0.003914596165827,0.006212064520751737,1.0
2024-12-03,0.0071624451064549,0.0056138246083154,0.0017924107737512518,1.0
2024-12-04,-0.019735244975543,-0.0010381531504869,0.000463807728996235,1.0
2024-12-05,0.0030235191444298,0.0038896515544244,0.006209534809425099,1.0
2024-12-06,0.0039928740954895,-0.004109669054173,-0.00164565718361398,1.0
2024-12-09,-0.0147394719529752,0.0015873225368181,0.0018956655539701384,1.0
2024-12-10,0.0101373098342982,-0.0019943080645744,-0.005149643631043976,1.0
2024-12-11,-0.0023534168266021,-0.0053756663142307,-0.003109090602606557,1.0
2024-12-12,0.0057808864612309,0.0065749209212949,0.007730647435394422,1.0
2024-12-13,-0.003372164436983,-0.0025834561710507,-0.005152610492206833,1.0
2024-12-16,0.0066628117699887,0.0055393688685126,-0.00019855892276432474,1.0
2024-12-17,-0.0006669072463361,0.0045620086595916,0.004269965675617771,1.0
2024-12-18,0.0025439492068741,-0.0039633042256568,-0.004120041679210651,1.0
2024-12-19,-0.0232970477755749,-0.0133578466773969,-0.029803487374158943,1.0
2024-12-20,-0.002586301332519,-0.0034196442169435,-0.0003071121340316729,1.0
2024-12-23,0.0079904356460458,0.004412337666965,0.008616360754965635,1.0
2024-12-24,0.0034971351584753,0.0072492359428146,0.005988290418921238,1.0
2024-12-26,0.0036877386491296,0.0042833659201954,0.011115010046286677,1.0
2024-12-27,-0.0042022008197808,-4.930085641356996e-05,6.658749927290764e-05,1.0
2024-12-30,-0.003027328699937,-0.0037963514019094,-0.010526518786625139,1.0
2025-01-02,0.0005751751241898,-0.0085511620155061,-0.01500813856778438,2.0
2025-01-03,0.0015173938521428,0.0007429963854226,-0.0024570065510107764,1.0
2025-01-06,0.0046603194687837,0.0077123738157743,0.012503416419400448,1.0
2025-01-07,0.0099854132091832,0.0069416620582646,0.005760576187535671,1.0
2025-01-08,-0.0043537968906041,-0.0049867816696298,-0.011304052395755049,1.0
2025-01-09,0.0020031529443347,-0.0017008034549665,0.0014609947580461746,1.0
2025-01-13,-0.0030329070364937,-0.0078311522562578,-0.015267434815002923,1.0
2025-01-14,0.004791983868573,-0.000304022542854,0.0015504563889190415,1.0
2025-01-15,0.0054737593297717,0.0015899668105662,0.0013759916283606621,1.0
2025-01-16,0.0126000617584898,0.0075199842675742,0.018189984044830076,1.0
2025-01-17,-0.002627069782187,-8.895964776522991e-05,-0.0019231664227786771,1.0
2025-01-20,0.0040141398492192,0.0075550953515212,0.010039892999691435,1.0
2025-01-22,0.007057111839215,0.0041898885214697,0.00915353684308795,1.0
2025-01-23,-0.0022850141832102,0.0040152346182373,0.005621448830210873,1.0
2025-01-24,0.0054860281224331,0.0007184319649987,0.005458079192118603,1.0
2025-01-31,-0.0009736560452472,-0.0156758369034274,-0.007724513280289003,5.0
2025-02-03,-0.0193178295956958,-0.0016221231176856,-0.00532191395620385,1.0
2025-02-04,0.011202343479437,-0.0049492763022753,-0.006729566554251942,1.0
2025-02-05,0.0089656647386788,0.0033958085428516,0.006708281838506247,1.0
2025-02-06,0.0050014740264858,0.0046833688445075,0.004054540342757651,1.0
2025-02-07,-0.0018369615095594,0.0004321980606874,0.003475616038725038,1.0
2025-02-10,-0.0044727943972497,-0.0049446551073747,-0.009153562023232031,1.0
2025-02-11,0.0046008946151696,0.0039681024177414,0.0067912111491030824,1.0
2025-02-12,-0.0017093353053942,0.0003341747776955,0.000760555495121995,1.0
2025-02-13,0.0041438159147095,-0.0004260159599913,-0.0032215099947072723,1.0
2025-02-14,0.001947231289076,0.0045644890149801,0.010557536581541571,1.0
2025-02-17,0.0019065403265692,0.0001966059881369,-4.9150054415414424e-05,1.0
2025-02-19,0.0027028423666939,0.0038955337360158,0.0029358340027980656,1.0
2025-02-20,-0.0036683419014185,0.0037960868028986,0.0023549076262954216,1.0
2025-02-21,-0.0001130527650093,-0.0003635718624179,-0.00416032470826988,1.0
2025-02-24,-0.0069540041717403,-0.0095574989746203,-0.017104102948802602,1.0
2025-02-25,-0.0104451064538285,-0.0056069276117252,-0.004550422471648163,1.0
2025-02-26,-0.0001634540808199,-0.0051186247002776,-0.004973177992678157,1.0
2025-02-27,-0.0013101427679389,0.0035835249395704,0.0005048259926943022,1.0
2025-02-28,-0.0137846448281205,-0.0148377899636024,-0.01596190430433686,1.0
2025-03-04,-0.0041772589812851,-0.0044326924380821,-0.0021877929893602266,2.0
2025-03-05,0.007722676043611,-0.0012537751731053,-0.011836911709231068,1.0
2025-03-06,0.0060279058226204,0.006460642514799,0.010747863198125485,1.0
2025-03-07,-0.0088193169206338,-0.011864615993208,-0.017751133038238276,1.0
